RadonEye Log Data
Model Name:,RD200
S/N:,HJ10RE000510
Unit:,Bq/m³
Alarm Threshold:,11100
Interval:,1 hour
Total # of Data:,5692
Data No:
1,265
2,282
3,236
4,262
5,296
6,300
7,390
8,399
9,431
10,468
11,423
12,494
13,461
14,392
15,345
16,319
17,269
18,319
19,276
20,332
21,360
22,392
23,469
24,469
25,400
26,227
27,221
28,224
29,285
30,306
31,372
32,430
33,489
34,507
35,503
36,570
37,556
38,556
39,476
40,482
41,372
42,376
43,497
44,496
45,554
46,585
47,545
48,336
49,318
50,326
51,266
52,250
53,217
54,266
55,239
56,259
57,315
58,360
59,423
60,370
61,369
62,380
63,373
64,318
65,224
66,152
67,137
68,179
69,166
70,213
71,204
72,203
73,171
74,207
75,239
76,223
77,247
78,197
79,237
80,300
81,333
82,366
83,430
84,455
85,504
86,581
87,604
88,571
89,633
90,522
91,211
92,158
93,121
94,172
95,204
96,217
97,236
98,262
99,163
100,204
101,236
102,249
103,285
104,360
105,390
106,447
107,542
108,535
109,603
110,536
111,487
112,414
113,394
114,414
115,459
116,501
117,503
118,615
119,603
120,403
121,369
122,345
123,303
124,342
125,352
126,392
127,465
128,521
129,568
130,570
131,554
132,664
133,595
134,524
135,440
136,448
137,353
138,349
139,279
140,313
141,275
142,230
143,233
144,247
145,247
146,272
147,265
148,259
149,269
150,290
151,313
152,379
153,430
154,476
155,497
156,487
157,489
158,514
159,511
160,510
161,387
162,325
163,318
164,306
165,230
166,224
167,226
168,204
169,207
170,207
171,244
172,242
173,226
174,236
175,312
176,326
177,386
178,418
179,428
180,473
181,486
182,575
183,517
184,423
185,382
186,448
187,360
188,447
189,465
190,418
191,382
192,279
193,224
194,204
195,211
196,224
197,230
198,285
199,326
200,387
201,442
202,500
203,496
204,452
205,459
206,452
207,423
208,343
209,342
210,366
211,360
212,390
213,410
214,319
215,366
216,217
217,263
218,275
219,313
220,323
221,322
222,309
223,350
224,386
225,459
226,452
227,438
228,482
229,532
230,479
231,490
232,452
233,379
234,233
235,139
236,60
237,86
238,121
239,126
240,198
241,124
242,90
243,168
244,203
245,208
246,233
247,265
248,343
249,345
250,373
251,411
252,428
253,362
254,387
255,438
256,397
257,262
258,190
259,162
260,96
261,152
262,242
263,233
264,280
265,325
266,389
267,376
268,386
269,382
270,434
271,435
272,445
273,428
274,430
275,427
276,416
277,438
278,380
279,437
280,290
281,280
282,285
283,292
284,359
285,355
286,400
287,440
288,349
289,343
290,326
291,280
292,240
293,226
294,259
295,296
296,326
297,394
298,377
299,452
300,476
301,490
302,403
303,373
304,315
305,285
306,285
307,350
308,272
309,259
310,316
311,295
312,259
313,282
314,272
315,263
316,276
317,256
318,316
319,345
320,387
321,403
322,472
323,479
324,539
325,581
326,522
327,458
328,343
329,159
330,171
331,230
332,275
333,309
334,338
335,292
336,96
337,49
338,74
339,79
340,155
341,178
342,213
343,260
344,322
345,356
346,356
347,414
348,440
349,418
350,346
351,342
352,249
353,247
354,247
355,305
356,326
357,319
358,366
359,387
360,342
361,312
362,242
363,190
364,182
365,171
366,187
367,273
368,325
369,323
370,369
371,342
372,414
373,466
374,445
375,507
376,431
377,406
378,420
379,435
380,403
381,444
382,500
383,363
384,285
385,318
386,239
387,159
388,249
389,236
390,275
391,305
392,323
393,447
394,490
395,490
396,486
397,525
398,497
399,528
400,517
401,431
402,265
403,208
404,123
405,102
406,115
407,190
408,198
409,233
410,295
411,242
412,201
413,162
414,172
415,221
416,257
417,328
418,316
419,332
420,359
421,430
422,362
423,389
424,390
425,411
426,275
427,185
